FineTuningJobEvent(id='ftevent-LBQmAij6Fs0BFzrAaR2ePfsw', created_at=1743051207, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 

FineTuningJobEvent(id='ftevent-5o0V92KIQMUMK5DdOBFmgUS3', created_at=1743051189, level='info', message='New fine-tuned model created', object='fine_tuning.job.event', data={}, type='message')       

FineTuningJobEvent(id='ftevent-rpLKodU8t7usQJrZ7vLcCcih', created_at=1743051189, level='info', message='Checkpoint created at step 110', object='fine_tuning.job.event', data={}, type='message')

FineTuningJobEvent(id='ftevent-DlgEiAEfGgx63G85BmL1R6Wm', created_at=1743051189, level='info', message='Checkpoint created at step 55', object='fine_tuning.job.event', data={}, type='message')

FineTuningJobEvent(id='ftevent-kv7aCEr0IvaeaC14YY9u0TI6', created_at=1743051114, level='info', message='Step 129/165: training loss=0.04', object='fine_tuning.job.event', data={'step': 129, 'train_loss': 0.03928310424089432, 'total_steps': 165, 'train_mean_token_accuracy': 0.9912023544311523}, type='metrics') 

FineTuningJobEvent(id='ftevent-22BGl11pz3SIOIX9k1KYCqjt', created_at=1743051112, level='info', message='Step 128/165: training loss=0.02', object='fine_tuning.job.event', data={'step': 128, 'train_loss': 0.01896044984459877, 'total_steps': 165, 'train_mean_token_accuracy': 0.9955752491950989}, type='metrics')

FineTuningJobEvent(id='ftevent-WW2UH83uT72soxJ2GcgbOzDY', created_at=1743051110, level='info', message='Step 127/165: training loss=0.08', object='fine_tuning.job.event', data={'step': 127, 'train_loss': 0.0809418186545372, 'total_steps': 165, 'train_mean_token_accuracy': 0.9800994992256165}, type='metrics')

FineTuningJobEvent(id='ftevent-eWsWx4OX70ps0S9zgeq2YgkE', created_at=1743051108, level='info', message='Step 126/165: training loss=0.05', object='fine_tuning.job.event', data={'step': 126, 'train_loss': 0.05281226336956024, 'total_steps': 165, 'train_mean_token_accuracy': 0.9940652847290039}, type='metrics')

FineTuningJobEvent(id='ftevent-vNQgikdeGaFllk17fhZ6JEMz', created_at=1743051108, level='info', message='Step 125/165: training loss=0.05', object='fine_tuning.job.event', data={'step': 125, 'train_loss': 0.0458843968808651, 'total_steps': 165, 'train_mean_token_accuracy': 0.9918200373649597}, type='metrics')

FineTuningJobEvent(id='ftevent-tct2P8g1rj1UUbLd2XX1aV9h', created_at=1743051105, level='info', message='Step 124/165: training loss=0.07', object='fine_tuning.job.event', data={'step': 124, 'train_loss': 0.0689542144536972, 'total_steps': 165, 'train_mean_token_accuracy': 0.9868203997612}, type='metrics')

FineTuningJobEvent(id='ftevent-jtfnZJP8iVtFltvv5ODl5u0V', created_at=1743051103, level='info', message='Step 123/165: training loss=0.15', object='fine_tuning.job.event', data={'step': 123, 'train_loss': 0.14757594466209412, 'total_steps': 165, 'train_mean_token_accuracy': 0.9609164595603943}, type='metrics')

FineTuningJobEvent(id='ftevent-zjiyd7v73J3kYqeRSfpsq01Y', created_at=1743051101, level='info', message='Step 122/165: training loss=0.05', object='fine_tuning.job.event', data={'step': 122, 'train_loss': 0.05251464247703552, 'total_steps': 165, 'train_mean_token_accuracy': 0.9873417615890503}, type='metrics')

FineTuningJobEvent(id='ftevent-jIj46TSdYd09vR8BCitnixgU', created_at=1743051101, level='info', message='Step 121/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 121, 'train_loss': 0.0003053416439797729, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-0QfxZX8e2GGrX9EqidcZs9J7', created_at=1743051099, level='info', message='Step 120/165: training loss=0.04', object='fine_tuning.job.event', data={'step': 120, 'train_loss': 0.03509887307882309, 'total_steps': 165, 'train_mean_token_accuracy': 0.9918830990791321}, type='metrics')

FineTuningJobEvent(id='ftevent-Cxi1WsTzeBnV424Lo0kiXBF5', created_at=1743051097, level='info', message='Step 119/165: training loss=0.09', object='fine_tuning.job.event', data={'step': 119, 'train_loss': 0.09057760238647461, 'total_steps': 165, 'train_mean_token_accuracy': 0.9905660152435303}, type='metrics')

FineTuningJobEvent(id='ftevent-QH3Tb8V7llFqjyEtoqx0ai7T', created_at=1743051095, level='info', message='Step 118/165: training loss=0.13', object='fine_tuning.job.event', data={'step': 118, 'train_loss': 0.12832467257976532, 'total_steps': 165, 'train_mean_token_accuracy': 0.9771987199783325}, type='metrics')

FineTuningJobEvent(id='ftevent-9SgYthyRI3FJRsoycPisbM4k', created_at=1743051093, level='info', message='Step 117/165: training loss=0.03', object='fine_tuning.job.event', data={'step': 117, 'train_loss': 0.028285417705774307, 'total_steps': 165, 'train_mean_token_accuracy': 0.9931507110595703}, type='metrics')

FineTuningJobEvent(id='ftevent-B9SWlq5B0ZWCMqVYLhK0CzJJ', created_at=1743051093, level='info', message='Step 116/165: training loss=0.08', object='fine_tuning.job.event', data={'step': 116, 'train_loss': 0.080144964158535, 'total_steps': 165, 'train_mean_token_accuracy': 0.9888888597488403}, type='metrics')

FineTuningJobEvent(id='ftevent-ML4HYa4cyIiJg0sBhWpQmo6H', created_at=1743051091, level='info', message='Step 115/165: training loss=0.15', object='fine_tuning.job.event', data={'step': 115, 'train_loss': 0.14963789284229279, 'total_steps': 165, 'train_mean_token_accuracy': 0.9721115827560425}, type='metrics')

FineTuningJobEvent(id='ftevent-7wXAraT2Rjl3OfmgVW2fifzt', created_at=1743051089, level='info', message='Step 114/165: training loss=0.02', object='fine_tuning.job.event', data={'step': 114, 'train_loss': 0.024043265730142593, 'total_steps': 165, 'train_mean_token_accuracy': 0.996632993221283}, type='metrics')

FineTuningJobEvent(id='ftevent-oRYmCiANxFzpyFdsk1apx29J', created_at=1743051087, level='info', message='Step 113/165: training loss=0.08', object='fine_tuning.job.event', data={'step': 113, 'train_loss': 0.07599827647209167, 'total_steps': 165, 'train_mean_token_accuracy': 0.9755434989929199}, type='metrics')

FineTuningJobEvent(id='ftevent-9B55Vqe1YDLQuL7yykRkkqai', created_at=1743051085, level='info', message='Step 112/165: training loss=0.01', object='fine_tuning.job.event', data={'step': 112, 'train_loss': 0.014133919030427933, 'total_steps': 165, 'train_mean_token_accuracy': 0.9981203079223633}, type='metrics')

FineTuningJobEvent(id='ftevent-7wv2lsenypHO1sLgnuAcBXEQ', created_at=1743051085, level='info', message='Step 111/165: training loss=0.03', object='fine_tuning.job.event', data={'step': 111, 'train_loss': 0.02806682139635086, 'total_steps': 165, 'train_mean_token_accuracy': 0.9920844435691833}, type='metrics')

FineTuningJobEvent(id='ftevent-akJzTnYiaciEzCOkHrcQ7KYI', created_at=1743051081, level='info', message='Step 110/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 110, 'train_loss': 0.0004524562682490796, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-5bFRwclzukF1xI0VcCmGbTcu', created_at=1743051079, level='info', message='Step 109/165: training loss=0.01', object='fine_tuning.job.event', data={'step': 109, 'train_loss': 0.011219549924135208, 'total_steps': 165, 'train_mean_token_accuracy': 0.9970059990882874}, type='metrics') 

FineTuningJobEvent(id='ftevent-et5xfkOc8YetbeH9TbLpbWnQ', created_at=1743051077, level='info', message='Step 108/165: training loss=0.02', object='fine_tuning.job.event', data={'step': 108, 'train_loss': 0.022132040932774544, 'total_steps': 165, 'train_mean_token_accuracy': 0.9941860437393188}, type='metrics')

FineTuningJobEvent(id='ftevent-BPc5OamgBTRNlJJxuxynvJSL', created_at=1743051077, level='info', message='Step 107/165: training loss=0.22', object='fine_tuning.job.event', data={'step': 107, 'train_loss': 0.2235955148935318, 'total_steps': 165, 'train_mean_token_accuracy': 0.937901496887207}, type='metrics')

FineTuningJobEvent(id='ftevent-bdABljERXTgWs6bpQT2VC31b', created_at=1743051075, level='info', message='Step 106/165: training loss=0.19', object='fine_tuning.job.event', data={'step': 106, 'train_loss': 0.1909215897321701, 'total_steps': 165, 'train_mean_token_accuracy': 0.9443099498748779}, type='metrics')

FineTuningJobEvent(id='ftevent-H7NB7YGbBwGXqwXMm5bQIUKb', created_at=1743051073, level='info', message='Step 105/165: training loss=0.00', object='fine_tuning.job.event', data={'step': 105, 'train_loss': 0.0049424744211137295, 'total_steps': 165, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-EqBOHfobEewxr2dJxxo49Pb4', created_at=1743051071, level='info', message='Step 104/165: training loss=0.02', object='fine_tuning.job.event', data={'step': 104, 'train_loss': 0.021582739427685738, 'total_steps': 165, 'train_mean_token_accuracy': 0.990314781665802}, type='metrics')

FineTuningJobEvent(id='ftevent-7GjgfsaeRdNejKzMx2yxgK2Q', created_at=1743051069, level='info', message='Step 103/165: training loss=0.06', object='fine_tuning.job.event', data={'step': 103, 'train_loss': 0.06476407498121262, 'total_steps': 165, 'train_mean_token_accuracy': 0.9791231751441956}, type='metrics')

FineTuningJobEvent(id='ftevent-QDwJrQf5N6Y6UV7dThAWAZRb', created_at=1743051069, level='info', message='Step 102/165: training loss=0.04', object='fine_tuning.job.event', data={'step': 102, 'train_loss': 0.03866029158234596, 'total_steps': 165, 'train_mean_token_accuracy': 0.9918566942214966}, type='metrics')

FineTuningJobEvent(id='ftevent-WGoTqCwHiFfCTOwRFI7sqxpg', created_at=1743051067, level='info', message='Step 101/165: training loss=0.06', object='fine_tuning.job.event', data={'step': 101, 'train_loss': 0.06356368958950043, 'total_steps': 165, 'train_mean_token_accuracy': 0.9869494438171387}, type='metrics')

FineTuningJobEvent(id='ftevent-vV9lMN43Y6uM00Pugaszu2DO', created_at=1743051065, level='info', message='Step 100/165: training loss=0.07', object='fine_tuning.job.event', data={'step': 100, 'train_loss': 0.07164377719163895, 'total_steps': 165, 'train_mean_token_accuracy': 0.9851632118225098}, type='metrics')

FineTuningJobEvent(id='ftevent-w20j5B3hJ2TzDXQGl1HGWNjb', created_at=1743051063, level='info', message='Step 99/165: training loss=0.07', object='fine_tuning.job.event', data={'step': 99, 'train_loss': 0.06834261864423752, 'total_steps': 165, 'train_mean_token_accuracy': 0.9842932224273682}, type='metrics')

FineTuningJobEvent(id='ftevent-vNNoptC5Bg9aBqdTUNzqaB1k', created_at=1743051061, level='info', message='Step 98/165: training loss=0.17', object='fine_tuning.job.event', data={'step': 98, 'train_loss': 0.16962993144989014, 'total_steps': 165, 'train_mean_token_accuracy': 0.9674267172813416}, type='metrics')

FineTuningJobEvent(id='ftevent-PRsKCjVXMQEe89rbmx0JFbln', created_at=1743051061, level='info', message='Step 97/165: training loss=0.02', object='fine_tuning.job.event', data={'step': 97, 'train_loss': 0.02262137085199356, 'total_steps': 165, 'train_mean_token_accuracy': 0.9934782385826111}, type='metrics')

FineTuningJobEvent(id='ftevent-SYHFUkHE7ctnKupEltnRcW42', created_at=1743051059, level='info', message='Step 96/165: training loss=0.10', object='fine_tuning.job.event', data={'step': 96, 'train_loss': 0.10013565421104431, 'total_steps': 165, 'train_mean_token_accuracy': 0.9752883315086365}, type='metrics')

FineTuningJobEvent(id='ftevent-3XM5CoMz1djg0PYb64KYuOEm', created_at=1743051057, level='info', message='Step 95/165: training loss=0.06', object='fine_tuning.job.event', data={'step': 95, 'train_loss': 0.06158003211021423, 'total_steps': 165, 'train_mean_token_accuracy': 0.9833333492279053}, type='metrics')

FineTuningJobEvent(id='ftevent-EQ4dEIwE5m7yP87uwA0a1U7Q', created_at=1743051055, level='info', message='Step 94/165: training loss=0.14', object='fine_tuning.job.event', data={'step': 94, 'train_loss': 0.13946276903152466, 'total_steps': 165, 'train_mean_token_accuracy': 0.9748427867889404}, type='metrics')

