FineTuningJobEvent(id='ftevent-cJhBy7i4NHF7xk6x8hQSSLG7', created_at=1738234375, level='info', message='Step 86/150: training loss=0.06', object='fine_tuning.job.event', data={'step': 86, 'train_loss': 0.0593067929148674, 'total_steps': 150, 'train_mean_token_accuracy': 0.9760000109672546}, type='metrics')

FineTuningJobEvent(id='ftevent-ijaObloFrA9F54rFYvipTZxA', created_at=1738234375, level='info', message='Step 85/150: training loss=0.02', object='fine_tuning.job.event', data={'step': 85, 'train_loss': 0.01740376651287079, 'total_steps': 150, 'train_mean_token_accuracy': 0.9921875}, type='metrics')

FineTuningJobEvent(id='ftevent-LycV535LY3Y1F7k7fLO7QplD', created_at=1738234375, level='info', message='Step 84/150: training loss=0.05', object='fine_tuning.job.event', data={'step': 84, 'train_loss': 0.0455445758998394, 'total_steps': 150, 'train_mean_token_accuracy': 0.982758641242981}, type='metrics')

FineTuningJobEvent(id='ftevent-qarpn4rC5iUZKpRZceAmQhFe', created_at=1738234375, level='info', message='Step 83/150: training loss=0.03', object='fine_tuning.job.event', data={'step': 83, 'train_loss': 0.03316168487071991, 'total_steps': 150, 'train_mean_token_accuracy': 0.9919354915618896}, type='metrics')

FineTuningJobEvent(id='ftevent-KqoXzEw6BbdlHaXBOvtCSjrz', created_at=1738234370, level='info', message='Step 82/150: training loss=0.09', object='fine_tuning.job.event', data={'step': 82, 'train_loss': 0.08671168237924576, 'total_steps': 150, 'train_mean_token_accuracy': 0.9696969985961914}, type='metrics')

FineTuningJobEvent(id='ftevent-o6qGjfppec4qqfsK84kqmx2E', created_at=1738234369, level='info', message='Step 81/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 81, 'train_loss': 0.006336674094200134, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-zqpdcGgnbOOUZuWlcKp6FNC8', created_at=1738234368, level='info', message='Step 80/150: training loss=0.18', object='fine_tuning.job.event', data={'step': 80, 'train_loss': 0.18407125771045685, 'total_steps': 150, 'train_mean_token_accuracy': 0.9599999785423279}, type='metrics')

