FineTuningJobEvent(id='ftevent-9AuYTx8bFe39q2uTXtmlZzRd', created_at=1740464350, level='info', message='Step 70/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 70, 'train_loss': 0.0028914709109812975, 'total_steps': 96, 'train_mean_token_accuracy': 0.9987824559211731}, type='metrics')

FineTuningJobEvent(id='ftevent-oOvkuPuIenq2LTwsd2mhid4s', created_at=1740464346, level='info', message='Step 69/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 69, 'train_loss': 0.0003221068764105439, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-st0AYiIDe2R8oByxpgDGch8d', created_at=1740464345, level='info', message='Step 68/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 68, 'train_loss': 0.0017748094396665692, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-6QNvEXynlXh72eHbZJdrrVfw', created_at=1740464345, level='info', message='Step 67/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 67, 'train_loss': 7.323729732888751e-06, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-HFM1E1ygSSrnce4mPXwUzH2b', created_at=1740464345, level='info', message='Step 66/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 66, 'train_loss': 0.0015377358067780733, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-8pWNqHHk61XIYnUdJYD86okR', created_at=1740464340, level='info', message='Step 65/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 65, 'train_loss': 0.0011437964858487248, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-7gG1ATTBhrqESGcV2OUCcvgA', created_at=1740464322, level='info', message='Step 64/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 64, 'train_loss': 0.00012347724987193942, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-L4NDMhZihPsKdKlFqR5ksCKu', created_at=1740464317, level='info', message='Step 63/96: training loss=0.02', object='fine_tuning.job.event', data={'step': 63, 'train_loss': 0.019186286255717278, 'total_steps': 96, 'train_mean_token_accuracy': 0.9961089491844177}, type='metrics')

