FineTuningJobEvent(id='ftevent-5ysW3XfZo3RsaUZHNSSDTk7q', created_at=1738494125, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-z56vGNvNdmIbkHXdp2qnSk3k', created_at=1738494055, level='info', message='Step 273/300: training loss=0.11', object='fine_tuning.job.event', data={'step': 273, 'train_loss': 0.10725255310535431, 'total_steps': 300, 'train_mean_token_accuracy': 0.9613259434700012}, type='metrics')

FineTuningJobEvent(id='ftevent-y4RCuVXj2LaoRkBknziLDmhi', created_at=1738494055, level='info', message='Step 272/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 272, 'train_loss': 0.002300575375556946, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-h2LqGm0bpIBt2zXOwQPLmU1t', created_at=1738494053, level='info', message='Step 271/300: training loss=0.04', object='fine_tuning.job.event', data={'step': 271, 'train_loss': 0.042603641748428345, 'total_steps': 300, 'train_mean_token_accuracy': 0.9842105507850647}, type='metrics')

FineTuningJobEvent(id='ftevent-NK6Olm69aRIiA7xIaP7lovnR', created_at=1738494051, level='info', message='Step 270/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 270, 'train_loss': 5.810655056848191e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-CqjPZPqLSRNmAzp6tXdECpU1', created_at=1738494051, level='info', message='Step 269/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 269, 'train_loss': 1.8111371900886297e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-Mh6R9AAh3C5utZrObbbO15rd', created_at=1738494049, level='info', message='Step 268/300: training loss=0.06', object='fine_tuning.job.event', data={'step': 268, 'train_loss': 0.06086266413331032, 'total_steps': 300, 'train_mean_token_accuracy': 0.9887005686759949}, type='metrics')

FineTuningJobEvent(id='ftevent-j9n1iQZTweX8oHHrdOqh4Y9j', created_at=1738494047, level='info', message='Step 267/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 267, 'train_loss': 8.699535101186484e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-vy1Ry6aErGXS7BEXh7rxz8mQ', created_at=1738494045, level='info', message='Step 266/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 266, 'train_loss': 3.959193418268114e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

